174	0	237
348	0	193
696	0	141
1391	0	77
2086	0	35
2781	0	10
3476	0	0
4171	0	2
4866	0	26
5561	0	88
6256	0	188
6951	0	325
174	0	237
348	15	193
696	43	141
1391	122	77
2086	209	35
2781	282	10
3476	340	0
4171	374	2
4866	380	26
5561	368	88
6256	342	188
6951	300	325
348	54	316
696	136	278
1391	300	213
2086	461	159
2781	603	117
3476	713	96
4171	775	90
4866	785	108
5561	760	171
6256	708	265
6951	624	393
348	104	523
696	228	497
1391	474	445
2086	695	396
2781	880	357
3476	1018	334
4171	1097	333
4866	1111	359
5561	1072	406
6256	991	479
6951	863	573
348	168	857
696	321	836
1391	600	798
2086	836	766
2781	1023	741
3476	1156	726
4171	1227	722
4866	1239	729
5561	1199	747
6256	1110	775
6951	983	813
348	229	1249
696	393	1233
1391	677	1204
2086	900	1178
2781	1065	1155
3476	1174	1134
4171	1230	1117
4866	1240	1103
5561	1208	1093
6256	1142	1087
6951	1050	1085
66.399217221135	55.5555555555556	875
123.774951076321	21.5151515151515	538
157.315068493151	1.61616161616162	341
0	94.949494949495	1265
